Subsector ID,Subsector,Sector ID,Sector,Year,Companies,Number of Employees LCI
213,Servicios Relacionados con la Minería,21,Minería,2015,167,7434
213,Servicios Relacionados con la Minería,21,Minería,2016,403,7806
213,Servicios Relacionados con la Minería,21,Minería,2017,493,10330
213,Servicios Relacionados con la Minería,21,Minería,2018,511,10913
213,Servicios Relacionados con la Minería,21,Minería,2019,456,13368
213,Servicios Relacionados con la Minería,21,Minería,2020,535,18396
213,Servicios Relacionados con la Minería,21,Minería,2021,624,23459
213,Servicios Relacionados con la Minería,21,Minería,2022,625,23909
221,"Generación, Transmisión, Distribución y Comercialización de Energía Eléctrica, Suministro de Agua y de Gas Natural por Ductos al Consumidor Final",22,"Generación, Transmisión, Distribución y Comercialización de Energía Eléctrica, Suministro de Agua y de Gas Natural por Ductos al Consumidor Final",2015,1590,38514
221,"Generación, Transmisión, Distribución y Comercialización de Energía Eléctrica, Suministro de Agua y de Gas Natural por Ductos al Consumidor Final",22,"Generación, Transmisión, Distribución y Comercialización de Energía Eléctrica, Suministro de Agua y de Gas Natural por Ductos al Consumidor Final",2016,3409,82684
221,"Generación, Transmisión, Distribución y Comercialización de Energía Eléctrica, Suministro de Agua y de Gas Natural por Ductos al Consumidor Final",22,"Generación, Transmisión, Distribución y Comercialización de Energía Eléctrica, Suministro de Agua y de Gas Natural por Ductos al Consumidor Final",2017,3444,84281
221,"Generación, Transmisión, Distribución y Comercialización de Energía Eléctrica, Suministro de Agua y de Gas Natural por Ductos al Consumidor Final",22,"Generación, Transmisión, Distribución y Comercialización de Energía Eléctrica, Suministro de Agua y de Gas Natural por Ductos al Consumidor Final",2018,9815,159972
221,"Generación, Transmisión, Distribución y Comercialización de Energía Eléctrica, Suministro de Agua y de Gas Natural por Ductos al Consumidor Final",22,"Generación, Transmisión, Distribución y Comercialización de Energía Eléctrica, Suministro de Agua y de Gas Natural por Ductos al Consumidor Final",2019,17260,241206
221,"Generación, Transmisión, Distribución y Comercialización de Energía Eléctrica, Suministro de Agua y de Gas Natural por Ductos al Consumidor Final",22,"Generación, Transmisión, Distribución y Comercialización de Energía Eléctrica, Suministro de Agua y de Gas Natural por Ductos al Consumidor Final",2020,18604,228395
221,"Generación, Transmisión, Distribución y Comercialización de Energía Eléctrica, Suministro de Agua y de Gas Natural por Ductos al Consumidor Final",22,"Generación, Transmisión, Distribución y Comercialización de Energía Eléctrica, Suministro de Agua y de Gas Natural por Ductos al Consumidor Final",2021,19123,217331
221,"Generación, Transmisión, Distribución y Comercialización de Energía Eléctrica, Suministro de Agua y de Gas Natural por Ductos al Consumidor Final",22,"Generación, Transmisión, Distribución y Comercialización de Energía Eléctrica, Suministro de Agua y de Gas Natural por Ductos al Consumidor Final",2022,19115,217651
222,Suministro de Agua y Suministro de Gas por Ductos al Consumidor Final,22,"Generación, Transmisión, Distribución y Comercialización de Energía Eléctrica, Suministro de Agua y de Gas Natural por Ductos al Consumidor Final",2015,3074,22922
222,Suministro de Agua y Suministro de Gas por Ductos al Consumidor Final,22,"Generación, Transmisión, Distribución y Comercialización de Energía Eléctrica, Suministro de Agua y de Gas Natural por Ductos al Consumidor Final",2016,12714,150668
222,Suministro de Agua y Suministro de Gas por Ductos al Consumidor Final,22,"Generación, Transmisión, Distribución y Comercialización de Energía Eléctrica, Suministro de Agua y de Gas Natural por Ductos al Consumidor Final",2017,12761,151338
222,Suministro de Agua y Suministro de Gas por Ductos al Consumidor Final,22,"Generación, Transmisión, Distribución y Comercialización de Energía Eléctrica, Suministro de Agua y de Gas Natural por Ductos al Consumidor Final",2018,6383,75786
236,Edificación,23,Construcción,2015,8901,198302
236,Edificación,23,Construcción,2016,24051,402536
236,Edificación,23,Construcción,2017,24839,418740
236,Edificación,23,Construcción,2018,25001,424106
236,Edificación,23,Construcción,2019,24091,478118
236,Edificación,23,Construcción,2020,24369,458826
236,Edificación,23,Construcción,2021,25598,474152
236,Edificación,23,Construcción,2022,25216,462479
237,Construcción de Obras de Ingeniería Civil,23,Construcción,2015,5499,141301
237,Construcción de Obras de Ingeniería Civil,23,Construcción,2016,14589,269868
237,Construcción de Obras de Ingeniería Civil,23,Construcción,2017,15089,282200
237,Construcción de Obras de Ingeniería Civil,23,Construcción,2018,15197,285479
237,Construcción de Obras de Ingeniería Civil,23,Construcción,2019,13957,292217
237,Construcción de Obras de Ingeniería Civil,23,Construcción,2020,12198,259423
237,Construcción de Obras de Ingeniería Civil,23,Construcción,2021,12572,255164
237,Construcción de Obras de Ingeniería Civil,23,Construcción,2022,12439,250870
238,Trabajos Especializados para la Construcción,23,Construcción,2015,5930,36709
238,Trabajos Especializados para la Construcción,23,Construcción,2016,13987,106066
238,Trabajos Especializados para la Construcción,23,Construcción,2017,14503,112409
238,Trabajos Especializados para la Construcción,23,Construcción,2018,14660,114653
238,Trabajos Especializados para la Construcción,23,Construcción,2019,16112,124312
238,Trabajos Especializados para la Construcción,23,Construcción,2020,15896,115742
238,Trabajos Especializados para la Construcción,23,Construcción,2021,16132,116648
238,Trabajos Especializados para la Construcción,23,Construcción,2022,15963,115169
311,Industria Alimentaria,31-33,Industrias Manufactureras,2015,185013,291338
311,Industria Alimentaria,31-33,Industrias Manufactureras,2016,373533,597512
311,Industria Alimentaria,31-33,Industrias Manufactureras,2017,374470,610084
311,Industria Alimentaria,31-33,Industrias Manufactureras,2018,374614,614280
311,Industria Alimentaria,31-33,Industrias Manufactureras,2019,404239,650377
311,Industria Alimentaria,31-33,Industrias Manufactureras,2020,433370,692568
311,Industria Alimentaria,31-33,Industrias Manufactureras,2021,434030,706967
311,Industria Alimentaria,31-33,Industrias Manufactureras,2022,434797,707176
312,Industria de las Bebidas y del Tabaco,31-33,Industrias Manufactureras,2015,21514,54786
312,Industria de las Bebidas y del Tabaco,31-33,Industrias Manufactureras,2016,44055,133639
312,Industria de las Bebidas y del Tabaco,31-33,Industrias Manufactureras,2017,44359,141507
312,Industria de las Bebidas y del Tabaco,31-33,Industrias Manufactureras,2018,44475,145256
312,Industria de las Bebidas y del Tabaco,31-33,Industrias Manufactureras,2019,48897,137467
312,Industria de las Bebidas y del Tabaco,31-33,Industrias Manufactureras,2020,53347,132099
312,Industria de las Bebidas y del Tabaco,31-33,Industrias Manufactureras,2021,53786,139890
312,Industria de las Bebidas y del Tabaco,31-33,Industrias Manufactureras,2022,53889,139775
313,Fabricación de Insumos Textiles y Acabado de Textiles,31-33,Industrias Manufactureras,2015,14868,44575
313,Fabricación de Insumos Textiles y Acabado de Textiles,31-33,Industrias Manufactureras,2016,30594,85738
313,Fabricación de Insumos Textiles y Acabado de Textiles,31-33,Industrias Manufactureras,2017,30768,86201
313,Fabricación de Insumos Textiles y Acabado de Textiles,31-33,Industrias Manufactureras,2018,30796,86050
313,Fabricación de Insumos Textiles y Acabado de Textiles,31-33,Industrias Manufactureras,2019,34528,86998
313,Fabricación de Insumos Textiles y Acabado de Textiles,31-33,Industrias Manufactureras,2020,36476,86885
313,Fabricación de Insumos Textiles y Acabado de Textiles,31-33,Industrias Manufactureras,2021,36749,90485
313,Fabricación de Insumos Textiles y Acabado de Textiles,31-33,Industrias Manufactureras,2022,36814,88623
314,"Fabricación de Productos Textiles, Excepto Prendas de Vestir",31-33,Industrias Manufactureras,2015,29091,19734
314,"Fabricación de Productos Textiles, Excepto Prendas de Vestir",31-33,Industrias Manufactureras,2016,58081,43661
314,"Fabricación de Productos Textiles, Excepto Prendas de Vestir",31-33,Industrias Manufactureras,2017,58071,45947
314,"Fabricación de Productos Textiles, Excepto Prendas de Vestir",31-33,Industrias Manufactureras,2018,58079,47280
314,"Fabricación de Productos Textiles, Excepto Prendas de Vestir",31-33,Industrias Manufactureras,2019,68523,55682
314,"Fabricación de Productos Textiles, Excepto Prendas de Vestir",31-33,Industrias Manufactureras,2020,79948,58366
314,"Fabricación de Productos Textiles, Excepto Prendas de Vestir",31-33,Industrias Manufactureras,2021,80287,60314
314,"Fabricación de Productos Textiles, Excepto Prendas de Vestir",31-33,Industrias Manufactureras,2022,80337,59192
315,Fabricación de Prendas de Vestir,31-33,Industrias Manufactureras,2015,30519,137676
315,Fabricación de Prendas de Vestir,31-33,Industrias Manufactureras,2016,61609,278889
