State ID,State,Investment Type,Year,Country ID,Country,Investment
1,Aguascalientes,Cuentas entre compañías,2012,usa,United States,23.361183166503906
1,Aguascalientes,Cuentas entre compañías,2013,deu,Germany,3.2136800289154053
1,Aguascalientes,Cuentas entre compañías,2013,esp,Spain,-5.369443893432617
1,Aguascalientes,Cuentas entre compañías,2013,fra,France,28.23650550842285
1,Aguascalientes,Cuentas entre compañías,2013,jpn,Japan,-510.3890075683594
1,Aguascalientes,Cuentas entre compañías,2013,usa,United States,29.908933639526367
1,Aguascalientes,Cuentas entre compañías,2014,deu,Germany,-3.534709930419922
1,Aguascalientes,Cuentas entre compañías,2014,esp,Spain,-1.55308997631073
1,Aguascalientes,Cuentas entre compañías,2014,fra,France,3.1396749019622803
1,Aguascalientes,Cuentas entre compañías,2014,jpn,Japan,216.59927368164063
1,Aguascalientes,Cuentas entre compañías,2014,usa,United States,115.68864440917969
1,Aguascalientes,Cuentas entre compañías,2015,deu,Germany,5.962497234344482
1,Aguascalientes,Cuentas entre compañías,2015,esp,Spain,0.2953745722770691
1,Aguascalientes,Cuentas entre compañías,2015,fra,France,43.88022994995117
1,Aguascalientes,Cuentas entre compañías,2015,jpn,Japan,53.73863220214844
1,Aguascalientes,Cuentas entre compañías,2015,nld,Netherlands,0.5192087888717651
1,Aguascalientes,Cuentas entre compañías,2015,usa,United States,-3.67098069190979
1,Aguascalientes,Cuentas entre compañías,2016,che,Switzerland,1.53459632396698
1,Aguascalientes,Cuentas entre compañías,2016,deu,Germany,6.18517541885376
1,Aguascalientes,Cuentas entre compañías,2016,esp,Spain,4.149343967437744
1,Aguascalientes,Cuentas entre compañías,2016,fra,France,-6.200011730194092
1,Aguascalientes,Cuentas entre compañías,2016,ita,Italy,7.491305828094482
1,Aguascalientes,Cuentas entre compañías,2016,jpn,Japan,-44.469810485839844
1,Aguascalientes,Cuentas entre compañías,2016,nld,Netherlands,0.055088821798563004
1,Aguascalientes,Cuentas entre compañías,2016,usa,United States,21.327173233032227
1,Aguascalientes,Cuentas entre compañías,2017,che,Switzerland,-0.4194367825984955
1,Aguascalientes,Cuentas entre compañías,2017,deu,Germany,81.30976867675781
1,Aguascalientes,Cuentas entre compañías,2017,esp,Spain,5.112741470336914
1,Aguascalientes,Cuentas entre compañías,2017,fra,France,0.6798180937767029
1,Aguascalientes,Cuentas entre compañías,2017,ita,Italy,-3.967747449874878
1,Aguascalientes,Cuentas entre compañías,2017,jpn,Japan,394.686767578125
1,Aguascalientes,Cuentas entre compañías,2017,nld,Netherlands,-0.18461880087852478
1,Aguascalientes,Cuentas entre compañías,2017,usa,United States,160.74905395507813
1,Aguascalientes,Cuentas entre compañías,2018,che,Switzerland,0.8295952081680298
1,Aguascalientes,Cuentas entre compañías,2018,deu,Germany,66.70649719238281
1,Aguascalientes,Cuentas entre compañías,2018,esp,Spain,3.4565067291259766
1,Aguascalientes,Cuentas entre compañías,2018,gbr,United Kingdom,102.63229370117188
1,Aguascalientes,Cuentas entre compañías,2018,jpn,Japan,7.242408275604248
1,Aguascalientes,Cuentas entre compañías,2018,nld,Netherlands,-0.8113139867782593
1,Aguascalientes,Cuentas entre compañías,2018,usa,United States,33.98619842529297
1,Aguascalientes,Cuentas entre compañías,2019,che,Switzerland,0.2559058964252472
1,Aguascalientes,Cuentas entre compañías,2019,deu,Germany,-0.9614190459251404
1,Aguascalientes,Cuentas entre compañías,2019,esp,Spain,-8.021788597106934
1,Aguascalientes,Cuentas entre compañías,2019,gbr,United Kingdom,-0.9204259514808655
1,Aguascalientes,Cuentas entre compañías,2019,ita,Italy,-19.68651008605957
1,Aguascalientes,Cuentas entre compañías,2019,jpn,Japan,-6.0277204513549805
1,Aguascalientes,Cuentas entre compañías,2019,nld,Netherlands,0.51598060131073
1,Aguascalientes,Cuentas entre compañías,2019,usa,United States,110.99983215332031
1,Aguascalientes,Cuentas entre compañías,2020,che,Switzerland,-0.6632531881332397
1,Aguascalientes,Cuentas entre compañías,2020,chn,China,-0.3568269610404968
1,Aguascalientes,Cuentas entre compañías,2020,deu,Germany,26.035747528076172
1,Aguascalientes,Cuentas entre compañías,2020,esp,Spain,4.18967866897583
1,Aguascalientes,Cuentas entre compañías,2020,fra,France,6.7289838790893555
1,Aguascalientes,Cuentas entre compañías,2020,gbr,United Kingdom,9.719265937805176
1,Aguascalientes,Cuentas entre compañías,2020,ita,Italy,-148.71766662597656
1,Aguascalientes,Cuentas entre compañías,2020,jpn,Japan,435.17169189453125
1,Aguascalientes,Cuentas entre compañías,2020,nld,Netherlands,-0.4791358411312103
1,Aguascalientes,Cuentas entre compañías,2020,usa,United States,65.39649200439453
1,Aguascalientes,Cuentas entre compañías,2021,che,Switzerland,1.5707157850265503
1,Aguascalientes,Cuentas entre compañías,2021,deu,Germany,-10.948600769042969
1,Aguascalientes,Cuentas entre compañías,2021,esp,Spain,2.4642693996429443
1,Aguascalientes,Cuentas entre compañías,2021,fra,France,5.038961410522461
1,Aguascalientes,Cuentas entre compañías,2021,gbr,United Kingdom,2.9500393867492676
1,Aguascalientes,Cuentas entre compañías,2021,ita,Italy,-18.84011459350586
1,Aguascalientes,Cuentas entre compañías,2021,jpn,Japan,-96.67462158203125
1,Aguascalientes,Cuentas entre compañías,2021,nld,Netherlands,-0.44898948073387146
