State ID,State,Year,Sector ID,Sector,Investment
1,Aguascalientes,2004,56,Support Services to Business and Waste Management and Waste and Remediation Services,0.022762000560760498
1,Aguascalientes,2004,72,Temporary Accommodation and Food Preparation and Drinks,4.240616798400879
1,Aguascalientes,2005,22,"Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",0.9081169962882996
1,Aguascalientes,2005,23,Building,0.02460400015115738
1,Aguascalientes,2005,31-33,Manufacturing Industries,94.78636503219604
1,Aguascalientes,2005,43,To the Wholesale Trade,-3.7125184535980225
1,Aguascalientes,2005,46,Retail Trade,13.695034980773926
1,Aguascalientes,2005,48-49,Transportation and Storage,1.3207740038633347
1,Aguascalientes,2005,51,Mass Media Information,14.653499603271484
1,Aguascalientes,2005,52,Financial and Insurance Services,4.1134514808654785
1,Aguascalientes,2005,53,Real Estate and Rental Services of Furniture and Intangible Assets,9.176322937011719
1,Aguascalientes,2005,54,"Services Professionals, Scientists and Technicals",-0.12099400162696838
1,Aguascalientes,2005,56,Support Services to Business and Waste Management and Waste and Remediation Services,0.07824300229549408
1,Aguascalientes,2005,72,Temporary Accommodation and Food Preparation and Drinks,-1.1347589492797852
1,Aguascalientes,2006,22,"Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",-0.045504000037908554
1,Aguascalientes,2006,23,Building,5.556887149810791
1,Aguascalientes,2006,31-33,Manufacturing Industries,103.56230640411377
1,Aguascalientes,2006,43,To the Wholesale Trade,1.3696880340576172
1,Aguascalientes,2006,46,Retail Trade,0.37977999448776245
1,Aguascalientes,2006,48-49,Transportation and Storage,1.6463590115308762
1,Aguascalientes,2006,51,Mass Media Information,6.972448825836182
1,Aguascalientes,2006,52,Financial and Insurance Services,14.939130783081055
1,Aguascalientes,2006,53,Real Estate and Rental Services of Furniture and Intangible Assets,2.9543099403381348
1,Aguascalientes,2006,54,"Services Professionals, Scientists and Technicals",1.3898999691009521
1,Aguascalientes,2006,56,Support Services to Business and Waste Management and Waste and Remediation Services,1.6942590475082397
1,Aguascalientes,2006,72,Temporary Accommodation and Food Preparation and Drinks,0.02407900057733059
1,Aguascalientes,2007,22,"Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",-0.05174500122666359
1,Aguascalientes,2007,23,Building,117.59493255615234
1,Aguascalientes,2007,31-33,Manufacturing Industries,228.06660175323486
1,Aguascalientes,2007,43,To the Wholesale Trade,11.615793228149414
1,Aguascalientes,2007,46,Retail Trade,8.801139831542969
1,Aguascalientes,2007,48-49,Transportation and Storage,6.79767220467329
1,Aguascalientes,2007,51,Mass Media Information,-8.66614818572998
1,Aguascalientes,2007,52,Financial and Insurance Services,33.94392776489258
1,Aguascalientes,2007,53,Real Estate and Rental Services of Furniture and Intangible Assets,1.5916709899902344
1,Aguascalientes,2007,54,"Services Professionals, Scientists and Technicals",0.12827399373054504
1,Aguascalientes,2007,56,Support Services to Business and Waste Management and Waste and Remediation Services,0.01971299946308136
1,Aguascalientes,2007,71,"Leisure and Cultural Services, Sports, and other Recreational Services",3.9388530254364014
1,Aguascalientes,2007,72,Temporary Accommodation and Food Preparation and Drinks,7.05628776550293
1,Aguascalientes,2008,23,Building,0.16576500236988068
1,Aguascalientes,2008,31-33,Manufacturing Industries,278.8564474582672
1,Aguascalientes,2008,43,To the Wholesale Trade,6.895945072174072
1,Aguascalientes,2008,46,Retail Trade,10.728350639343262
1,Aguascalientes,2008,48-49,Transportation and Storage,0.0357850007712841
1,Aguascalientes,2008,51,Mass Media Information,9.458381652832031
1,Aguascalientes,2008,52,Financial and Insurance Services,25.486656188964844
1,Aguascalientes,2008,53,Real Estate and Rental Services of Furniture and Intangible Assets,4.802587032318115
1,Aguascalientes,2008,54,"Services Professionals, Scientists and Technicals",0.08260100334882736
1,Aguascalientes,2008,56,Support Services to Business and Waste Management and Waste and Remediation Services,-0.1368889957666397
1,Aguascalientes,2008,72,Temporary Accommodation and Food Preparation and Drinks,-3.608297109603882
1,Aguascalientes,2009,22,"Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",1.6276320219039917
1,Aguascalientes,2009,23,Building,18.350059509277344
1,Aguascalientes,2009,31-33,Manufacturing Industries,282.3496034145355
1,Aguascalientes,2009,43,To the Wholesale Trade,-1.3072720766067505
1,Aguascalientes,2009,46,Retail Trade,16.90872573852539
1,Aguascalientes,2009,48-49,Transportation and Storage,-0.0035250000655651093
1,Aguascalientes,2009,51,Mass Media Information,3.427198886871338
1,Aguascalientes,2009,52,Financial and Insurance Services,14.449481964111328
1,Aguascalientes,2009,53,Real Estate and Rental Services of Furniture and Intangible Assets,3.604123115539551
1,Aguascalientes,2009,54,"Services Professionals, Scientists and Technicals",0.016225000843405724
1,Aguascalientes,2009,56,Support Services to Business and Waste Management and Waste and Remediation Services,1.347051978111267
1,Aguascalientes,2009,72,Temporary Accommodation and Food Preparation and Drinks,0.025662999600172043
1,Aguascalientes,2010,22,"Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",2.0545849800109863
1,Aguascalientes,2010,23,Building,0.409963995218277
1,Aguascalientes,2010,31-33,Manufacturing Industries,224.85523319244385
1,Aguascalientes,2010,43,To the Wholesale Trade,4.175680160522461
1,Aguascalientes,2010,46,Retail Trade,24.50483512878418
1,Aguascalientes,2010,48-49,Transportation and Storage,-0.0067170001566410065
1,Aguascalientes,2010,51,Mass Media Information,27.12285804748535
1,Aguascalientes,2010,52,Financial and Insurance Services,30.314361572265625
1,Aguascalientes,2010,53,Real Estate and Rental Services of Furniture and Intangible Assets,3.195918083190918
1,Aguascalientes,2010,54,"Services Professionals, Scientists and Technicals",-0.051162999123334885
1,Aguascalientes,2010,56,Support Services to Business and Waste Management and Waste and Remediation Services,11.417346954345703
1,Aguascalientes,2010,72,Temporary Accommodation and Food Preparation and Drinks,2.142198085784912
1,Aguascalientes,2011,22,"Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",-1.4945069551467896
1,Aguascalientes,2011,23,Building,80.12547302246094
1,Aguascalientes,2011,31-33,Manufacturing Industries,60.88225984573364
1,Aguascalientes,2011,43,To the Wholesale Trade,2.599246025085449
1,Aguascalientes,2011,46,Retail Trade,18.868446350097656
1,Aguascalientes,2011,48-49,Transportation and Storage,5.995917961001396
1,Aguascalientes,2011,51,Mass Media Information,1.7354110479354858
1,Aguascalientes,2011,52,Financial and Insurance Services,10.953047752380371
1,Aguascalientes,2011,53,Real Estate and Rental Services of Furniture and Intangible Assets,1.9077240228652954
1,Aguascalientes,2011,54,"Services Professionals, Scientists and Technicals",0.03508254140615463
1,Aguascalientes,2011,56,Support Services to Business and Waste Management and Waste and Remediation Services,3.426593065261841
1,Aguascalientes,2011,71,"Leisure and Cultural Services, Sports, and other Recreational Services",50.453514099121094
1,Aguascalientes,2012,22,"Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",1.2809950113296509
1,Aguascalientes,2012,23,Building,13.183687210083008
1,Aguascalientes,2012,31-33,Manufacturing Industries,287.04326939582825
1,Aguascalientes,2012,43,To the Wholesale Trade,2.4366815090179443
1,Aguascalientes,2012,46,Retail Trade,31.441864013671875
1,Aguascalientes,2012,48-49,Transportation and Storage,1.8670810163021088
1,Aguascalientes,2012,51,Mass Media Information,12.476533889770508
1,Aguascalientes,2012,52,Financial and Insurance Services,6.586258888244629
1,Aguascalientes,2012,53,Real Estate and Rental Services of Furniture and Intangible Assets,1.004531979560852
1,Aguascalientes,2012,54,"Services Professionals, Scientists and Technicals",-2.774566173553467
1,Aguascalientes,2012,56,Support Services to Business and Waste Management and Waste and Remediation Services,0.2894868552684784
1,Aguascalientes,2013,22,"Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",0.4045979976654053
1,Aguascalientes,2013,23,Building,0.8982719779014587
1,Aguascalientes,2013,31-33,Manufacturing Industries,45.56566047668457
1,Aguascalientes,2013,43,To the Wholesale Trade,14.651568412780762
1,Aguascalientes,2013,46,Retail Trade,5.31821346282959
1,Aguascalientes,2013,48-49,Transportation and Storage,0.2865050137042999
1,Aguascalientes,2013,51,Mass Media Information,25.903045654296875
1,Aguascalientes,2013,52,Financial and Insurance Services,-33.937870025634766
1,Aguascalientes,2013,53,Real Estate and Rental Services of Furniture and Intangible Assets,0.4524179995059967
1,Aguascalientes,2013,54,"Services Professionals, Scientists and Technicals",12.306219100952148
1,Aguascalientes,2013,56,Support Services to Business and Waste Management and Waste and Remediation Services,-2.54917311668396
1,Aguascalientes,2013,72,Temporary Accommodation and Food Preparation and Drinks,-0.3878310024738312
1,Aguascalientes,2014,22,"Generation, Transmission and Distribution of Electricity, Water and Gas Pipeline to the Consumer",-0.18983200192451477
1,Aguascalientes,2014,23,Building,-0.8391682505607605
1,Aguascalientes,2014,31-33,Manufacturing Industries,1008.4080443382263
1,Aguascalientes,2014,43,To the Wholesale Trade,3.294682264328003
1,Aguascalientes,2014,46,Retail Trade,13.071118354797363
1,Aguascalientes,2014,48-49,Transportation and Storage,18.236822843551636
1,Aguascalientes,2014,51,Mass Media Information,-45.66681671142578
1,Aguascalientes,2014,52,Financial and Insurance Services,-31.543563842773438
1,Aguascalientes,2014,53,Real Estate and Rental Services of Furniture and Intangible Assets,-0.18168100714683533
1,Aguascalientes,2015,21,Mining,3.9466819763183594
