State ID,State,Year,Country ID,Country,Investment
1,Aguascalientes,2007,gbr,United Kingdom,2.480846881866455
1,Aguascalientes,2007,jpn,Japan,175.46017456054688
1,Aguascalientes,2007,kor,South Korea,5.116339206695557
1,Aguascalientes,2007,nld,Netherlands,0.30947500467300415
1,Aguascalientes,2007,usa,United States,161.5078887939453
1,Aguascalientes,2007,xxa,Unknown,2.2162859439849854
1,Aguascalientes,2008,deu,Germany,3.3482820987701416
1,Aguascalientes,2008,esp,Spain,14.630256652832031
1,Aguascalientes,2008,fra,France,11.708572387695313
1,Aguascalientes,2008,gbr,United Kingdom,2.7051761150360107
1,Aguascalientes,2008,ind,India,-0.000007999999979801942
1,Aguascalientes,2008,jpn,Japan,246.569091796875
1,Aguascalientes,2008,nld,Netherlands,-0.13989399373531342
1,Aguascalientes,2008,usa,United States,35.40211868286133
1,Aguascalientes,2009,bel,Belgium,1.2114280462265015
1,Aguascalientes,2009,can,Canada,2.933295726776123
1,Aguascalientes,2009,deu,Germany,1.5474289655685425
1,Aguascalientes,2009,esp,Spain,16.771045684814453
1,Aguascalientes,2009,fra,France,18.99532127380371
1,Aguascalientes,2009,gbr,United Kingdom,0.6894649863243103
1,Aguascalientes,2009,jpn,Japan,143.82557678222656
1,Aguascalientes,2009,nld,Netherlands,0.01256099995225668
1,Aguascalientes,2009,usa,United States,150.1331787109375
1,Aguascalientes,2010,bel,Belgium,0.2576020061969757
1,Aguascalientes,2010,can,Canada,12.130553245544434
1,Aguascalientes,2010,deu,Germany,-34.54715347290039
1,Aguascalientes,2010,esp,Spain,29.361543655395508
1,Aguascalientes,2010,fra,France,6.724185943603516
1,Aguascalientes,2010,gbr,United Kingdom,14.532682418823242
1,Aguascalientes,2010,ita,Italy,0.15874099731445313
1,Aguascalientes,2010,jpn,Japan,238.43978881835938
1,Aguascalientes,2010,nld,Netherlands,0.2152480036020279
1,Aguascalientes,2010,pri,Puerto Rico,0.009196000173687935
1,Aguascalientes,2010,usa,United States,74.22522735595703
1,Aguascalientes,2010,xxa,Unknown,1.9360300302505493
1,Aguascalientes,2011,can,Canada,0.946054995059967
1,Aguascalientes,2011,col,Colombia,80.0473861694336
1,Aguascalientes,2011,deu,Germany,1.0058590173721313
1,Aguascalientes,2011,esp,Spain,8.157458305358887
1,Aguascalientes,2011,fra,France,-1.2949949502944946
1,Aguascalientes,2011,gbr,United Kingdom,0.6811230182647705
1,Aguascalientes,2011,ita,Italy,0.7650570869445801
1,Aguascalientes,2011,jpn,Japan,98.3360824584961
1,Aguascalientes,2011,nld,Netherlands,0.08160246908664703
1,Aguascalientes,2011,usa,United States,27.117321014404297
1,Aguascalientes,2011,xxa,Unknown,7.827914237976074
1,Aguascalientes,2012,can,Canada,0.7025030255317688
1,Aguascalientes,2012,col,Colombia,12.363092422485352
1,Aguascalientes,2012,deu,Germany,0.7865409851074219
1,Aguascalientes,2012,esp,Spain,6.620254039764404
1,Aguascalientes,2012,fra,France,4.13204288482666
1,Aguascalientes,2012,gbr,United Kingdom,-0.558791995048523
1,Aguascalientes,2012,ita,Italy,2.932326078414917
1,Aguascalientes,2012,jpn,Japan,250.2018280029297
1,Aguascalientes,2012,kor,South Korea,7.168961048126221
1,Aguascalientes,2012,nld,Netherlands,0.05006973072886467
1,Aguascalientes,2012,usa,United States,64.91896057128906
1,Aguascalientes,2013,bel,Belgium,29.000883102416992
1,Aguascalientes,2013,can,Canada,-1.026097059249878
1,Aguascalientes,2013,col,Colombia,-1.874364972114563
1,Aguascalientes,2013,deu,Germany,3.112320899963379
1,Aguascalientes,2013,esp,Spain,-1.1723949909210205
1,Aguascalientes,2013,fra,France,34.95094299316406
1,Aguascalientes,2013,ita,Italy,-3.2040855884552
1,Aguascalientes,2013,jpn,Japan,-83.87407684326172
1,Aguascalientes,2013,kor,South Korea,2.0416769981384277
1,Aguascalientes,2013,nld,Netherlands,2.473651647567749
1,Aguascalientes,2013,usa,United States,81.45584869384766
1,Aguascalientes,2014,deu,Germany,-1.073409914970398
1,Aguascalientes,2014,esp,Spain,14.949835777282715
1,Aguascalientes,2014,fra,France,15.99884033203125
1,Aguascalientes,2014,ita,Italy,0.25809401273727417
1,Aguascalientes,2014,jpn,Japan,602.9789428710938
1,Aguascalientes,2014,kor,South Korea,2.6087939739227295
1,Aguascalientes,2014,nld,Netherlands,0.3052026927471161
1,Aguascalientes,2014,usa,United States,337.2963562011719
1,Aguascalientes,2014,xxa,Unknown,4.392577648162842
1,Aguascalientes,2015,che,Switzerland,-5.896992206573486
1,Aguascalientes,2015,deu,Germany,129.80062866210938
1,Aguascalientes,2015,esp,Spain,8.392095565795898
1,Aguascalientes,2015,fra,France,51.55223083496094
1,Aguascalientes,2015,gbr,United Kingdom,2.875749111175537
1,Aguascalientes,2015,jpn,Japan,515.60693359375
1,Aguascalientes,2015,nld,Netherlands,2.0062432289123535
1,Aguascalientes,2015,usa,United States,114.41431427001953
1,Aguascalientes,2015,xxa,Unknown,-15.284836769104004
1,Aguascalientes,2016,che,Switzerland,12.91193962097168
1,Aguascalientes,2016,col,Colombia,1.016597032546997
1,Aguascalientes,2016,deu,Germany,118.5679702758789
1,Aguascalientes,2016,esp,Spain,15.118356704711914
1,Aguascalientes,2016,fra,France,1.6107197999954224
1,Aguascalientes,2016,gbr,United Kingdom,3.828033208847046
1,Aguascalientes,2016,ita,Italy,11.14104175567627
1,Aguascalientes,2016,jpn,Japan,346.64434814453125
1,Aguascalientes,2016,nld,Netherlands,0.19313253462314606
1,Aguascalientes,2016,usa,United States,64.54551696777344
1,Aguascalientes,2016,xxa,Unknown,3.514756441116333
1,Aguascalientes,2017,can,Canada,1.7317602634429932
1,Aguascalientes,2017,che,Switzerland,-0.06788521260023117
1,Aguascalientes,2017,chn,China,4.8730268478393555
1,Aguascalientes,2017,deu,Germany,238.31544494628906
1,Aguascalientes,2017,esp,Spain,12.317535400390625
1,Aguascalientes,2017,fra,France,3.743229627609253
1,Aguascalientes,2017,gbr,United Kingdom,44.02275085449219
1,Aguascalientes,2017,ita,Italy,-0.8924911618232727
1,Aguascalientes,2017,jpn,Japan,991.7813720703125
1,Aguascalientes,2017,nld,Netherlands,-2.7054245471954346
1,Aguascalientes,2017,usa,United States,263.1409912109375
1,Aguascalientes,2017,xxa,Unknown,1.2481094598770142
1,Aguascalientes,2018,che,Switzerland,0.64426589012146
1,Aguascalientes,2018,chn,China,57.69567108154297
1,Aguascalientes,2018,col,Colombia,0.4126170575618744
1,Aguascalientes,2018,deu,Germany,155.1381072998047
1,Aguascalientes,2018,esp,Spain,18.565752029418945
1,Aguascalientes,2018,fra,France,-3.455825090408325
1,Aguascalientes,2018,gbr,United Kingdom,102.79240417480469
1,Aguascalientes,2018,jpn,Japan,634.6465454101563
1,Aguascalientes,2018,nld,Netherlands,-0.5062935948371887
1,Aguascalientes,2018,usa,United States,173.58938598632813
1,Aguascalientes,2019,che,Switzerland,0.5085644125938416
1,Aguascalientes,2019,deu,Germany,11.581079483032227
1,Aguascalientes,2019,esp,Spain,19.378337860107422
1,Aguascalientes,2019,fra,France,-4.090667724609375
1,Aguascalientes,2019,gbr,United Kingdom,9.034855842590332
