State ID,State,Year,Workforce,Worked Hours Week,Worked Days Week,Number of Records,Monthly Wage
3,Baja California Sur,2014,2169782,25.8799118989834,3.295106605179691,25058,3813.1187275956754
3,Baja California Sur,2015,2237472,26.49900199868423,3.3527516768924928,25563,3975.3714781682183
3,Baja California Sur,2016,2314153,25.97949962686132,3.2848039865989844,25622,4244.45427160607
3,Baja California Sur,2017,2424361,25.2890881349766,3.2522780229512023,25721,4513.881245408584
3,Baja California Sur,2018,2485930,26.7523453999107,3.396897740483441,25563,4771.469565514717
3,Baja California Sur,2019,2567163,27.30213780737725,3.484012507191791,25205,4987.420649954834
3,Baja California Sur,2020,2002322,23.695596412565013,3.0792884461140617,20125,4542.775305370465
3,Baja California Sur,2021,2531269,26.023847722229444,3.3367247811275687,23269,5552.492570722432
3,Baja California Sur,2022,2573446,27.28635417257638,3.45257642864859,23342,6528.5610659792355
4,Campeche,2010,2405746,24.423719711058443,3.1482330221062407,33090,2517.5285387567933
4,Campeche,2011,2431008,24.60064631626058,3.1720019020916426,32886,2720.06753165765
4,Campeche,2012,2533220,25.106380417018656,3.262079093012056,33365,2827.6394936089246
4,Campeche,2013,2578882,24.951803921234085,3.1914756084225644,32595,2958.911995197919
4,Campeche,2014,2595273,24.719807896895624,3.168156875981833,33411,3006.0064432527906
4,Campeche,2015,2625400,24.786916279424087,3.1605237297173763,33062,2974.367620933953
4,Campeche,2016,2697898,24.723006577713463,3.1272675987009144,33427,2910.6200301123317
4,Campeche,2017,2743562,24.115002686288847,3.099851215317897,33577,2830.640634693147
4,Campeche,2018,2793787,24.255825157751826,3.128456822227321,33491,2993.2999545061953
4,Campeche,2019,2860299,24.415310077722644,3.120233583971466,33843,3140.515839427976
4,Campeche,2020,2197339,22.4600942321599,2.8921067709625143,29638,3017.5583280504284
4,Campeche,2021,2828458,23.95778689307036,3.0884287481023227,46879,3410.5087326734215
4,Campeche,2022,2874598,24.48058893800107,3.111360614597241,45621,3752.6255225948116
5,Coahuila de Zaragoza,2010,7981870,22.046388628228723,2.765847351560474,36126,2425.4305122734395
5,Coahuila de Zaragoza,2011,8255331,23.052654218225776,2.9077537896421113,35836,2544.2592063237685
5,Coahuila de Zaragoza,2012,8398438,23.45891295500425,2.970693955233104,35202,2651.665092485055
5,Coahuila de Zaragoza,2013,8534174,23.978319167150797,3.0164136564358777,35344,2873.908961546835
5,Coahuila de Zaragoza,2014,8505133,24.118242125079057,3.007574249573757,35889,2961.9042341842273
5,Coahuila de Zaragoza,2015,8617011,24.29030460794352,2.993951731058484,35775,3132.82600242706
5,Coahuila de Zaragoza,2016,8687851,24.763007215478257,3.071098134625007,35506,3273.209597287062
5,Coahuila de Zaragoza,2017,8853527,24.731680718881865,3.049758926583722,45187,3335.6482622123362
5,Coahuila de Zaragoza,2018,9086883,24.795380880330473,3.0601830132510783,48972,3398.92031040787
5,Coahuila de Zaragoza,2019,9243741,24.378451754543967,3.007630676800659,49471,3881.5927693127705
5,Coahuila de Zaragoza,2020,7073045,22.87106910814225,2.8408915820555363,31008,4002.488369577742
5,Coahuila de Zaragoza,2021,9704290,24.356701520667663,2.997951833673561,46714,4343.501071897068
5,Coahuila de Zaragoza,2022,9912794,24.90920814051013,3.0587620402481885,47824,4640.503676259186
6,Colima,2010,1947779,25.297252922431138,3.284508663457199,31505,2863.708475653552
6,Colima,2011,1986518,24.972808200076717,3.245377590336458,31478,2822.1676642245375
6,Colima,2012,2031226,25.45238934515411,3.353636178347461,31291,3104.7342023979604
6,Colima,2013,2069345,25.58258434432151,3.311278206388978,30425,3187.808114644972
6,Colima,2014,2074487,25.305421051083954,3.3005697312154765,31545,3138.5475792328416
6,Colima,2015,2134085,25.25273220138842,3.2743930068389964,31693,3106.9010011316327
6,Colima,2016,2182506,25.851581164038038,3.3492205748804356,30769,3136.5142840386234
6,Colima,2017,2233629,25.858777352908653,3.3710857980443483,30689,3239.895090455935
6,Colima,2018,2321308,26.245438347690182,3.3540383266675513,30691,3436.6782107329145
6,Colima,2019,2362674,25.742620860939766,3.3270218405078316,30841,3497.2728670988886
6,Colima,2020,1815007,23.830257403965934,3.09467015829691,24215,3441.273903626818
